investor,stock,company,sector,pct,shares,value_idr,type,lf
MEDIAHUIS IRELAND LIMITED,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",7.19,282886300,11881224600.0,Unknown,Foreign
DRS. WINARTO,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",4.54,178745400,7507306800.0,Individual,Local
YAYASAN ABDI BANGSA,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",2.83,111372886,4677661212.0,Unknown,Foreign
YAYASAN BINA SEJAHTERA WARGA BULOG,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",1.35,52975286,2224962012.0,Unknown,Foreign
PT KAIROS EKSPRES INTERNASIONAL,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",1.33,52362500,2199225000.0,Corporation,Local
PT.Grid One Media,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",1.11,43791628,1839248376.0,Corporation,Local
TJEN FOENG FA,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",1.06,41856300,1757964600.0,Individual,Local
PEARL HILL INVESTMENTS LTD,ABBA,MAHAKA MEDIA Tbk,"ADVERTISING,PRINTING and MEDIA",1.02,39999999,1679999958.0,Insurance/Pension,Foreign
OONA INDONESIA PTE LTD,ABDA,ASURANSI BINA DANA ARTA Tbk,INSURANCE,86.75,538555304,1400243790400.0,Insurance,Foreign
MAYBANK SECURITIES PTE. LTD.,ABDA,ASURANSI BINA DANA ARTA Tbk,INSURANCE,4.91,30499400,79298440000.0,Securities Co,Foreign
DBS BANK LTD.,ABDA,ASURANSI BINA DANA ARTA Tbk,INSURANCE,4.51,28000000,72800000000.0,Insurance/Pension,Foreign
SKYLIGHT INVESTMENT LTD,ABDA,ASURANSI BINA DANA ARTA Tbk,INSURANCE,3.5,21728234,56493408400.0,Corporation,Foreign
PT TIARA MARGA TRAKINDO,ABMM,ABM INVESTAMA Tbk,COAL MINING,53.56,1474573133,4585922443630.0,Corporation,Local
VALLE VERDE PTE LTD,ABMM,ABM INVESTAMA Tbk,COAL MINING,25.51,702349867,2184308086370.0,Corporation,Foreign
DRS LO KHENG HONG,ABMM,ABM INVESTAMA Tbk,COAL MINING,5.64,155382400,483239264000.0,Individual,Local
NOBLE INVESTMENT CORPORATION (SPC) LTD.,ABMM,ABM INVESTAMA Tbk,COAL MINING,3.5,96446100,299947371000.0,Corporation,Foreign
PT KAWAN LAMA SEJAHTERA,ACES,ASPIRASI HIDUP INDONESIA Tbk,RETAIL TRADE,60.0,10272189700,3882887706600.0,Corporation,Local
DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,ACES,ASPIRASI HIDUP INDONESIA Tbk,RETAIL TRADE,2.89,494894900,187070272200.0,Insurance/Pension,Foreign
